Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197708,0.24,-0.03
197709,1.63,0.79
197710,0.49,-1.87
197711,3.26,-1.60
197712,10.10,3.47
197801,16.55,8.79
197802,6.70,-0.03
197803,7.37,1.70
197804,5.30,2.37
197805,1.89,-0.13
197806,0.60,-0.33
197807,0.32,0.10
197808,0.31,0.04
197809,1.97,1.13
197810,0.03,-2.33
197811,2.43,-2.43
197812,2.06,-4.57
197901,5.44,-2.32
197902,9.22,2.49
197903,4.42,-1.25
197904,2.87,-0.06
197905,2.23,0.21
197906,0.22,-0.71
197907,0.34,0.12
197908,0.68,0.41
197909,0.15,-0.69
197910,5.40,3.04
197911,2.74,-2.12
197912,8.05,1.42
198001,10.93,3.17
198002,10.14,3.41
198003,3.45,-2.22
198004,2.56,-0.37
198005,2.48,0.46
198006,1.00,0.07
198007,0.71,0.49
198008,0.11,-0.16
198009,0.55,-0.29
198010,1.52,-0.84
198011,1.63,-3.23
198012,6.31,-0.32
198101,7.78,0.02
198102,2.92,-3.81
198103,4.99,-0.68
198104,1.68,-1.25
198105,2.23,0.21
198106,0.05,-0.88
198107,0.01,-0.21
198108,0.01,-0.26
198109,1.43,0.59
198110,6.92,4.56
198111,17.58,12.72
198112,10.53,3.90
198201,5.51,-2.25
198202,5.06,-1.67
198203,8.54,2.87
198204,7.09,4.16
198205,0.32,-1.70
198206,1.31,0.38
198207,0.39,0.17
198208,0.25,-0.02
198209,2.51,1.67
198210,6.75,4.39
198211,8.33,3.47
198212,8.54,1.91
198301,9.35,1.59
198302,13.58,6.85
198303,13.92,8.25
198304,5.66,2.73
198305,0.99,-1.03
198306,1.18,0.25
198307,0.12,-0.10
198308,0.62,0.35
198309,1.42,0.58
198310,2.89,0.53
198311,14.35,9.49
198312,12.83,6.20
198401,0.42,-7.34
198402,4.81,-1.92
198403,4.17,-1.50
198404,2.40,-0.53
198405,0.61,-1.41
198406,1.14,0.21
198407,0.35,0.13
198408,0.79,0.52
198409,0.59,-0.25
198410,3.15,0.79
198411,10.63,5.77
198412,2.10,-4.53
198501,1.08,-6.68
198502,4.15,-2.58
198503,5.72,0.05
198504,0.33,-2.60
198505,0.22,-1.80
198506,0.12,-0.81
198507,0.32,0.10
198508,0.07,-0.20
198509,2.41,1.57
198510,1.48,-0.88
198511,6.55,1.69
198512,3.83,-2.80
198601,7.19,-0.57
198602,21.11,14.38
198603,6.54,0.87
198604,1.80,-1.13
198605,1.89,-0.13
198606,0.22,-0.71
198607,0.30,0.08
198608,0.02,-0.25
198609,3.92,3.08
198610,0.88,-1.48
198611,0.76,-4.10
198612,1.44,-5.19
198701,4.77,-2.99
198702,4.73,-2.00
198703,6.01,0.34
198704,0.68,-2.25
198705,1.26,-0.76
198706,0.31,-0.62
198707,0.42,0.20
