Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198707,0.06,-0.12
198708,0.09,-0.30
198709,0.12,-0.15
198710,1.12,0.88
198711,0.43,0.22
198712,0.60,0.05
198801,0.37,-0.16
198802,0.56,0.06
198803,0.03,-0.34
198804,0.36,0.26
198805,0.00,-0.04
198806,0.04,0.03
198807,0.02,-0.16
198808,0.64,0.25
198809,0.01,-0.26
198810,0.12,-0.12
198811,0.01,-0.20
198812,0.05,-0.50
198901,0.94,0.41
198902,0.02,-0.48
198903,0.06,-0.31
198904,0.00,-0.10
198905,0.00,-0.04
198906,0.00,-0.01
198907,0.40,0.22
198908,0.42,0.03
198909,0.01,-0.26
198910,0.02,-0.22
198911,0.01,-0.20
198912,0.00,-0.55
199001,0.34,-0.19
199002,0.03,-0.47
199003,0.03,-0.34
199004,0.04,-0.06
199005,0.09,0.05
199006,0.04,0.03
199007,0.24,0.06
199008,0.73,0.34
199009,0.38,0.11
199010,0.36,0.12
199011,0.01,-0.20
199012,0.01,-0.54
199101,0.73,0.20
199102,0.66,0.16
199103,1.24,0.87
199104,0.00,-0.10
199105,0.00,-0.04
199106,0.00,-0.01
199107,0.13,-0.05
199108,0.36,-0.03
199109,0.61,0.34
199110,0.13,-0.11
199111,0.14,-0.07
199112,1.00,0.45
199201,0.60,0.07
199202,1.27,0.77
199203,2.19,1.82
199204,0.24,0.14
199205,0.25,0.21
