Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198008,0.12,-0.38
198009,0.69,0.16
198010,0.29,-0.51
198011,0.69,-0.79
198012,1.76,-0.44
198101,2.82,0.18
198102,0.99,-1.43
198103,3.03,0.99
198104,0.92,-0.19
198105,1.23,0.32
198106,0.08,-0.42
198107,0.07,-0.40
198108,0.09,-0.41
198109,0.23,-0.30
198110,1.63,0.83
198111,3.30,1.82
198112,1.96,-0.24
198201,3.60,0.96
198202,1.49,-0.93
198203,3.35,1.31
198204,3.89,2.78
198205,0.37,-0.54
198206,1.72,1.22
198207,0.63,0.16
198208,1.42,0.92
198209,2.19,1.66
198210,2.47,1.67
198211,3.24,1.76
198212,3.78,1.58
198301,4.02,1.38
198302,3.66,1.24
198303,5.33,3.29
198304,1.77,0.66
198305,0.25,-0.66
198306,0.39,-0.11
198307,0.07,-0.40
198308,1.99,1.49
198309,0.95,0.42
198310,0.79,-0.01
198311,4.95,3.47
198312,3.99,1.79
198401,0.31,-2.33
198402,1.41,-1.01
198403,0.85,-1.19
198404,0.88,-0.23
198405,0.12,-0.79
198406,0.60,0.10
198407,1.90,1.43
198408,1.15,0.65
198409,0.26,-0.27
198410,1.03,0.23
198411,3.78,2.30
198412,1.24,-0.96
198501,0.60,-2.04
198502,1.13,-1.29
198503,2.62,0.58
198504,0.18,-0.93
198505,0.09,-0.82
198506,0.62,0.12
198507,1.15,0.68
198508,0.03,-0.47
198509,1.47,0.94
198510,1.18,0.38
198511,2.57,1.09
198512,1.78,-0.42
198601,1.56,-1.08
198602,9.13,6.71
198603,3.22,1.18
198604,1.05,-0.06
198605,0.25,-0.66
198606,0.14,-0.36
198607,0.49,0.02
198608,0.31,-0.19
198609,0.49,-0.04
198610,0.19,-0.61
198611,0.07,-1.41
198612,0.54,-1.66
198701,1.89,-0.75
198702,1.67,-0.75
198703,1.53,-0.51
198704,0.34,-0.77
198705,1.86,0.95
198706,0.52,0.02
198707,0.18,-0.29
198708,0.07,-0.43
198709,0.04,-0.49
198710,1.10,0.30
198711,2.33,0.85
198712,1.72,-0.48
198801,2.15,-0.49
198802,0.34,-2.08
198803,0.40,-1.64
198804,1.40,0.29
198805,0.71,-0.20
198806,0.70,0.20
198807,0.44,-0.03
198808,0.56,0.06
198809,0.51,-0.02
198810,0.00,-0.80
198811,1.73,0.25
198812,2.00,-0.20
198901,0.58,-2.06
198902,1.17,-1.25
198903,2.28,0.24
198904,0.44,-0.67
198905,2.25,1.34
198906,0.87,0.37
198907,0.06,-0.41
198908,1.17,0.67
198909,1.49,0.96
198910,0.63,-0.17
198911,0.81,-0.67
198912,0.08,-2.12
199001,2.35,-0.29
199002,1.75,-0.67
199003,0.53,-1.51
199004,1.72,0.61
199005,0.89,-0.02
199006,0.35,-0.15
199007,1.07,0.60
199008,0.54,0.04
199009,0.69,0.16
199010,0.13,-0.67
199011,0.31,-1.17
199012,0.51,-1.69
199101,0.32,-2.32
199102,0.47,-1.95
199103,7.73,5.69
199104,0.31,-0.80
199105,0.86,-0.05
199106,0.29,-0.21
199107,0.26,-0.21
199108,0.26,-0.24
199109,0.64,0.11
199110,1.62,0.82
199111,0.88,-0.60
199112,1.28,-0.92
199201,0.89,-1.75
199202,2.73,0.31
199203,1.70,-0.34
199204,0.16,-0.95
199205,0.34,-0.57
199206,0.75,0.25
199207,0.90,0.43
199208,0.91,0.41
199209,0.36,-0.17
199210,1.06,0.26
199211,0.11,-1.37
