Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,0.63,-1.46
197701,2.92,0.06
197702,0.81,-2.14
197703,1.16,-1.26
197704,0.01,-0.99
197705,1.16,0.91
197706,0.01,-0.05
197707,0.01,-0.01
197708,0.30,0.25
197709,0.04,-0.16
197710,0.01,-0.47
197711,0.10,-1.09
197712,3.49,1.40
197801,7.79,4.93
197802,6.87,3.92
197803,7.66,5.24
197804,1.77,0.77
197805,0.04,-0.21
197806,0.00,-0.06
197807,0.01,-0.01
197808,0.01,-0.04
197809,1.06,0.86
197810,0.06,-0.42
197811,2.01,0.82
197812,1.88,-0.21
197901,5.66,2.80
197902,2.57,-0.38
197903,4.80,2.38
197904,0.01,-0.99
197905,0.08,-0.17
197906,0.01,-0.05
197907,0.03,0.01
197908,0.03,-0.02
197909,0.00,-0.20
197910,0.71,0.23
197911,0.51,-0.68
197912,0.33,-1.76
198001,7.93,5.07
198002,9.99,7.04
198003,3.52,1.10
198004,0.42,-0.58
198005,0.24,-0.01
198006,0.00,-0.06
198007,0.00,-0.02
198008,0.00,-0.05
198009,0.00,-0.20
198010,0.03,-0.45
198011,0.00,-1.19
198012,0.70,-1.39
198101,2.05,-0.81
198102,1.41,-1.54
198103,3.12,0.70
198104,0.43,-0.57
198105,0.11,-0.14
198106,0.01,-0.05
198107,0.00,-0.02
198108,0.00,-0.05
198109,0.03,-0.17
198110,0.57,0.09
198111,2.18,0.99
198112,0.59,-1.50
198201,3.06,0.20
198202,0.97,-1.98
198203,4.62,2.20
198204,1.25,0.25
198205,0.29,0.04
198206,0.06,0.00
198207,0.00,-0.02
198208,0.07,0.02
198209,0.89,0.69
198210,0.23,-0.25
198211,3.97,2.78
198212,1.27,-0.82
198301,3.97,1.11
198302,4.36,1.41
198303,8.79,6.37
198304,3.52,2.52
198305,0.23,-0.02
198306,0.01,-0.05
198307,0.00,-0.02
198308,0.28,0.23
198309,0.98,0.78
198310,1.35,0.87
198311,2.96,1.77
198312,2.38,0.29
198401,0.17,-2.69
198402,0.01,-2.94
198403,0.18,-2.24
198404,0.62,-0.38
198405,0.00,-0.25
198406,0.05,-0.01
198407,0.05,0.03
198408,0.17,0.12
198409,0.29,0.09
198410,0.18,-0.30
198411,1.96,0.77
198412,5.11,3.02
198501,0.77,-2.09
198502,1.31,-1.64
198503,0.85,-1.57
198504,0.03,-0.97
198505,0.08,-0.17
198506,0.01,-0.05
198507,0.01,-0.01
198508,0.00,-0.05
198509,0.32,0.12
198510,0.27,-0.21
198511,3.71,2.52
198512,0.45,-1.64
198601,1.67,-1.19
198602,4.36,1.41
198603,3.68,1.26
198604,0.89,-0.11
198605,0.00,-0.25
198606,0.00,-0.06
198607,0.10,0.08
198608,0.01,-0.04
198609,0.99,0.79
198610,0.35,-0.13
198611,0.81,-0.38
198612,0.77,-1.32
198701,1.98,-0.88
198702,1.86,-1.09
198703,1.11,-1.31
198704,0.24,-0.76
198705,0.09,-0.16
198706,0.03,-0.03
198707,0.12,0.10
198708,0.18,0.13
198709,0.12,-0.08
198710,2.23,1.75
198711,1.25,0.06
198712,2.28,0.19
198801,1.74,-1.12
198802,1.12,-1.83
198803,0.37,-2.05
198804,2.47,1.47
198805,0.03,-0.22
198806,0.00,-0.06
198807,0.00,-0.02
198808,0.05,0.00
198809,0.10,-0.10
198810,0.00,-0.48
198811,1.06,-0.13
198812,3.79,1.70
198901,0.59,-2.27
198902,1.54,-1.41
198903,0.89,-1.53
198904,0.06,-0.94
198905,0.15,-0.10
198906,0.03,-0.03
198907,0.00,-0.02
198908,0.00,-0.05
198909,0.49,0.29
198910,0.39,-0.09
198911,0.28,-0.91
198912,0.03,-2.06
199001,2.33,-0.53
199002,2.94,-0.01
199003,0.30,-2.12
199004,0.83,-0.17
199005,0.74,0.49
199006,0.07,0.01
199007,0.01,-0.01
199008,0.02,-0.03
199009,0.01,-0.19
199010,0.01,-0.47
199011,0.49,-0.70
199012,0.11,-1.98
199101,1.50,-1.36
199102,3.35,0.40
199103,6.32,3.90
199104,0.05,-0.95
199105,0.01,-0.24
199106,0.00,-0.06
199107,0.06,0.04
199108,0.01,-0.04
199109,0.06,-0.14
199110,0.28,-0.20
199111,0.03,-1.16
199112,1.95,-0.14
199201,2.01,-0.85
199202,6.52,3.57
199203,5.76,3.34
199204,0.19,-0.81
199205,0.10,-0.15
199206,0.00,-0.06
